City,iPhone,BigMac
Amsterdam,44.5,16
Athens,86,30
Auckland,51,16
Bangkok,165,36
Barcelona,52.5,19
Beijing,184,34
Berlin,55.5,16
Bogota,142,52
Bratislava,126.5,32
Brussels,54,20
Bucharest,229.5,57
Budapest,206,49
BuenosAires,187,45
Cairo,290.5,67
Caracas,271.5,81
Chicago,32,11
Copenhagen,36.5,16
Delhi,369.5,65
Doha,82.5,21
Dubai,46.5,12
Dublin,39,14
Frankfurt,41.5,15
Geneva,23.5,14
Helsinki,44.5,16
HongKong,53,10
Istanbul,165.5,42
Jakarta,348.5,62
Johannesburg,93.5,26
Kiev,266.5,46
KualaLumpur,129,26
Lima,162,21
Lisbon,96.5,22
Ljubljana,101,25
London,42.5,16
LosAngeles,33,11
Luxembourg,29.5,11
Lyon,52.5,17
Madrid,53,18
Manama,72.5,20
Manila,435,73
MexicoCity,219.5,48
Miami,32.5,12
Milan,55,18
Montreal,44.5,19
Moscow,119,18
Mumbai,338,56
Munich,42.5,15
Nairobi,292.5,84
NewYork,27.5,10
Nicosia,53.5,12
Oslo,36,18
Paris,43.5,16
Prague,131.5,34
Riga,168.5,33
RiodeJaneiro,160,45
Rome,70,23
SantiagodeChile,157,56
SaoPaulo,106,39
Seoul,56,17
Shanghai,142,29
Sofia,247.5,36
Stockholm,45,17
Sydney,32.5,12
Taipei,79,15
Tallinn,139,28
TelAviv,99.5,17
Tokyo,35,9
Toronto,37.5,11
Vienna,45.5,14
Vilnius,168.5,33
Warsaw,141,36
Zurich,22,13
