Time,City,Demand,Temperature
pm,Auckland,52329,13.6
pm,Auckland,47714,13.9
pm,Auckland,46250,13.8
pm,Auckland,49711,14.6
pm,Auckland,48508,12.1
pm,Auckland,51720,11.7
pm,Auckland,51741,11.5
pm,Auckland,49426,13.6
pm,Auckland,45705,14.3
pm,Auckland,46913,15.6
pm,Auckland,48792,13.7
pm,Auckland,48164,13.1
pm,Auckland,49757,11.3
pm,Auckland,49514,12.7
pm,Auckland,48645,12.7
pm,Auckland,51616,14.7
pm,Auckland,47735,14.8
pm,Auckland,47094,14
pm,Auckland,45793,13.6
pm,Auckland,47132,12.9
pm,Auckland,46277,12.7
pm,Auckland,47409,13.6
pm,Auckland,43822,14.4
pm,Auckland,46913,13.6
pm,Auckland,47237,13.6
pm,Auckland,45800,13.6
pm,Auckland,48458,15
pm,Auckland,50786,13.2
pm,Auckland,51887,12.8
pm,Auckland,56866,9.8
pm,Auckland,56042,11.2
pm,Auckland,50769,13.7
pm,Auckland,47871,14.7
pm,Auckland,58475,10.9
pm,Auckland,55743,10.8
pm,Auckland,49094,13.3
pm,Auckland,52885,11.4
pm,Auckland,53068,10.3
pm,Auckland,53452,10.9
pm,Auckland,51733,12.4
pm,Auckland,52509,12.7
pm,Auckland,49935,12.3
pm,Auckland,48437,13
pm,Auckland,52659,13.4
pm,Auckland,48270,12.3
pm,Auckland,51249,11.9
pm,Auckland,51565,11.9
pm,Auckland,54761,12.6
pm,Auckland,52050,13.1
pm,Auckland,55923,11.8
pm,Auckland,47254,14.5
pm,Christchurch,63816,7.8
pm,Christchurch,64761,7.8
pm,Christchurch,65122,8.5
pm,Christchurch,64146,8.4
pm,Christchurch,65886,9.5
pm,Christchurch,64659,9.5
pm,Christchurch,62779,11.2
pm,Christchurch,59345,12.5
pm,Christchurch,61155,12.2
pm,Christchurch,61837,11.3
pm,Christchurch,60163,12.7
pm,Christchurch,59716,11.4
pm,Christchurch,62135,10.6
pm,Christchurch,60396,9.6
pm,Christchurch,58966,9.3
pm,Christchurch,62751,7.6
pm,Christchurch,61775,9.2
pm,Christchurch,62605,9
pm,Christchurch,63836,5.6
pm,Christchurch,59409,11.2
pm,Christchurch,62111,8.1
pm,Christchurch,62126,4.6
pm,Christchurch,59814,9
pm,Christchurch,60132,10.4
pm,Christchurch,59136,12.5
pm,Christchurch,59478,13.9
pm,Christchurch,64186,7.8
pm,Christchurch,63778,9.4
pm,Christchurch,63213,8.2
pm,Christchurch,62492,5.3
pm,Christchurch,64573,9.2
pm,Christchurch,58753,12.7
pm,Christchurch,59210,10.3
pm,Christchurch,60837,5.6
pm,Christchurch,62060,7.2
pm,Christchurch,63915,8.9
pm,Christchurch,64061,7.2
pm,Christchurch,61749,7.3
pm,Christchurch,63052,6.2
pm,Christchurch,58283,10.3
pm,Christchurch,60158,10.7
pm,Christchurch,58890,8.4
pm,Christchurch,59126,8.9
pm,Christchurch,61155,9.6
pm,Christchurch,57898,8.4
pm,Christchurch,60355,8.9
pm,Christchurch,61634,10
pm,Christchurch,59515,8
pm,Christchurch,57323,12
pm,Christchurch,53785,11.1
pm,Christchurch,53326,12.1
